lon,lat,depth_m,x,y,temp буC,cond  ?S cm??,salt бы,pH,turb  NTU,chl(ug/L),odo(mg/L)
114.0136809765268,22.69367354086593,1,193173,2512697,33.16,169.51,0.06,9.014836309,1.44,8.57,10.9
114.0136809765268,22.69367354086593,2,193173,2512697,28.86,208.91,0.06,8.63257314,2.73,4.24,8.01
114.0136809765268,22.69367354086593,3,193173,2512697,28.6,180.02,0.08,8.743194635,3.84,4.55,6.38
114.0136809765268,22.69367354086593,4,193173,2512697,23.63,226.37,0.09,9.36818985,3.67,3.32,5.02
114.0136809765268,22.69367354086593,5,193173,2512697,30.66,206.8,0.09,9.170877641,4.71,3.57,5.18
114.013679998076,22.69371865,1,193173,2512702,29.32,156.92,0.07,9.197271232,1.09,7.34,10.71
114.013679998076,22.69371865,2,193173,2512702,36.06,175.72,0.08,9.221901591,2.46,4.69,8.4
114.013679998076,22.69371865,3,193173,2512702,28.3,155.68,0.08,7.744216063,3.47,2.98,8.79
114.013679998076,22.69371865,4,193173,2512702,25.18,195.3,0.07,8.366618947,5.1,3.26,5.2
114.013679998076,22.69371865,5,193173,2512702,27.52,186.1,0.07,7.307187589,4.73,3.63,4.64
114.01367901962269,22.69376375553377,1,193173,2512707,28.55,157.48,0.06,9.005141241,1.3,8.35,9.3
114.01367901962269,22.69376375553377,2,193173,2512707,31.95,175.56,0.06,9.190598357,2.41,4.94,7.56
114.01367901962269,22.69376375553377,3,193173,2512707,31.2,230.09,0.06,8.643658063,3.65,3.48,7.7
114.01367901962269,22.69376375553377,4,193173,2512707,24.74,190.68,0.07,9.401660638,3.71,3.62,6.22
114.01367901962269,22.69376375553377,5,193173,2512707,33.98,203.49,0.07,9.399598349,5.94,3.36,4
114.01367804116693,22.693808862867243,1,193173,2512712,27.62,207.4,0.07,8.858435119,1.56,7.1,8.87
114.01367804116693,22.693808862867243,2,193173,2512712,33.37,180.4,0.07,9.305092265,2.25,6.26,7.8
114.01367804116693,22.693808862867243,3,193173,2512712,24.41,187.7,0.06,9.141404315,3.45,3.94,6.37
114.01367804116693,22.693808862867243,4,193173,2512712,30.52,173.08,0.07,9.442138384,5.13,4.63,6.49
114.01367804116693,22.693808862867243,5,193173,2512712,32.66,230.63,0.08,9.280467965,5.71,3.62,3.77
114.01367706270864,22.693853970200426,1,193173,2512717,31.01,151.1,0.06,9.223391854,1.56,7.22,10.24
114.01367706270864,22.693853970200426,2,193173,2512717,36.3,166.66,0.07,9.226850645,2.05,3.49,8.53
114.01367706270864,22.693853970200426,3,193173,2512717,33.01,176.79,0.06,9.195755422,3.91,4.3,8.94
114.01367706270864,22.693853970200426,4,193173,2512717,33.71,159.25,0.08,9.100889509,3.82,4.63,5.33
114.01367706270864,22.693853970200426,5,193173,2512717,26.58,193.2,0.09,7.686724526,5.8,2.93,3.83
114.01373056865742,22.6936293413991,1,193178,2512692,36.6,155.09,0.07,8.221919545,1.41,6.34,8.99
114.01373056865742,22.6936293413991,2,193178,2512692,37.2,188.33,0.08,7.487137605,2.41,5.22,9.28
114.01373056865742,22.6936293413991,3,193178,2512692,29.67,156.45,0.07,8.588590214,3.01,3.59,7.55
114.01373056865742,22.6936293413991,4,193178,2512692,25.3,162.54,0.07,7.656914403,5.06,4.35,6.71
114.01373056865742,22.6936293413991,5,193178,2512692,27.77,193.63,0.08,8.941511529,5.35,3.32,4.63
114.01372959022495,22.693674448735457,1,193178,2512697,28.45,184.58,0.08,9.140287929,1.32,8.09,11.86
114.01372959022495,22.693674448735457,2,193178,2512697,34.83,195.02,0.08,8.284211317,2.4,4.12,9.75
114.01372959022495,22.693674448735457,3,193178,2512697,25.97,184.55,0.08,7.420680502,2.83,3.24,8.02
114.01372959022495,22.693674448735457,4,193178,2512697,29.58,189.8,0.08,8.976675838,3.62,3.07,5.29
114.01372959022495,22.693674448735457,5,193178,2512697,32.03,166.05,0.08,8.158177831,5.53,3.02,4.25
114.01372861179,22.693719556071525,1,193178,2512702,34.89,184.74,0.08,8.557618971,1.33,5.93,11.47
114.01372861179,22.693719556071525,2,193178,2512702,27.62,194.2,0.08,8.570400483,1.93,5.4,10.59
114.01372861179,22.693719556071525,3,193178,2512702,29.96,159.4,0.09,9.102346516,2.73,3.99,6.05
114.01372861179,22.693719556071525,4,193178,2512702,29.13,182.52,0.07,7.702378447,3.82,3.18,7.02
114.01372861179,22.693719556071525,5,193178,2512702,32.53,195.19,0.08,8.661757489,4.48,2.97,5.3
114.01372763335256,22.693764663407297,1,193178,2512707,26.9,197.74,0.06,9.434831959,1.37,5.67,9.37
114.01372763335256,22.693764663407297,2,193178,2512707,34.63,204.26,0.06,7.847866032,1.9,4.16,9.02
114.01372763335256,22.693764663407297,3,193178,2512707,31.6,156,0.08,8.738556026,2.78,2.58,8.37
114.01372763335256,22.693764663407297,4,193178,2512707,26,202.11,0.09,8.704269237,3.75,3.32,4.94
114.01372763335256,22.693764663407297,5,193178,2512707,26.25,235.77,0.07,8.568581501,5.08,4.12,4.42
114.01372665491266,22.69380977074277,1,193178,2512712,37.87,165.52,0.08,8.767066231,1.44,6.97,9.64
114.01372665491266,22.69380977074277,2,193178,2512712,35.06,198.01,0.06,8.348297181,1.92,6.26,9.97
114.01372665491266,22.69380977074277,3,193178,2512712,26.77,184.78,0.07,9.335616969,2.85,4.99,8.3
114.01372665491266,22.69380977074277,4,193178,2512712,24.17,233.93,0.09,7.447762792,4.98,3.13,5.48
114.01372665491266,22.69380977074277,5,193178,2512712,27.77,237.82,0.08,9.007057972,5.87,2.82,4.04
114.01372567647026,22.693854878077964,1,193178,2512717,30.68,171.06,0.08,9.163733171,1.54,10.2,11
114.01372567647026,22.693854878077964,2,193178,2512717,33.71,226.49,0.06,8.910917931,2.49,3.87,8.03
114.01372567647026,22.693854878077964,3,193178,2512717,29.7,172.23,0.08,9.002577463,2.95,3.56,8.61
114.01372567647026,22.693854878077964,4,193178,2512717,28.22,210.24,0.09,8.929130085,4.74,4.74,6.12
114.01372567647026,22.693854878077964,5,193178,2512717,33.23,166.38,0.08,9.294124391,6.33,4.29,4.21
114.01372469802538,22.69389998541285,1,193178,2512722,32.26,160,0.08,9.299175305,1.3,7.45,8.94
114.01372469802538,22.69389998541285,2,193178,2512722,36.98,166.15,0.08,7.918857699,1.98,5.04,8.91
114.01372469802538,22.69389998541285,3,193178,2512722,36.54,199.62,0.09,9.230454412,2.89,3.18,8.34
114.01372469802538,22.69389998541285,4,193178,2512722,34.66,214.4,0.08,7.608720208,4.26,3.7,6.56
114.01372469802538,22.69389998541285,5,193178,2512722,26.67,167.71,0.07,8.470552198,5.04,3.03,4.18
114.013723719578,22.693945092747445,1,193178,2512727,37.64,219.44,0.07,7.939359051,1.33,9.53,12.41
114.013723719578,22.693945092747445,2,193178,2512727,32.3,197.27,0.06,9.228547686,2.14,5.46,9.92
114.013723719578,22.693945092747445,3,193178,2512727,30.87,156.44,0.07,9.081786334,3.43,4.5,8.71
114.013723719578,22.693945092747445,4,193178,2512727,33.47,181.87,0.08,8.882596568,4.11,3.56,5.82
114.013723719578,22.693945092747445,5,193178,2512727,31.57,240.12,0.1,8.915759618,4.39,2.44,5.24
114.01377918234218,22.693630249251893,1,193183,2512692,26.81,167.52,0.06,8.960510571,1.49,6.74,9.23
114.01377918234218,22.693630249251893,2,193183,2512692,37.48,152.55,0.07,8.658611381,2.41,4.43,8.36
114.01377918234218,22.693630249251893,3,193183,2512692,25.4,205.38,0.07,8.774997009,3.49,2.68,7.52
114.01377918234218,22.693630249251893,4,193183,2512692,33.94,222.52,0.08,9.341672561,4.68,3.32,7.02
114.01377918234218,22.693630249251893,5,193183,2512692,24.2,215.78,0.07,7.211474184,5.14,3.3,4.5
114.01377820392555,22.69367535659025,1,193183,2512697,31.6,209.26,0.07,9.273301414,1.15,6.19,11.45
114.01377820392555,22.69367535659025,2,193183,2512697,31.6,183.24,0.08,8.820209943,2.55,4.52,8.98
114.01377820392555,22.69367535659025,3,193183,2512697,25.88,160.45,0.06,8.810042246,3.13,3.41,8.31
114.01377820392555,22.69367535659025,4,193183,2512697,29.88,168.08,0.07,9.397118613,3.49,3.33,5.7
114.01377820392555,22.69367535659025,5,193183,2512697,34.2,206.52,0.09,8.968705176,5.03,3.4,5.29
114.0137772255065,22.69372046392833,1,193183,2512702,29.75,167.53,0.06,9.366814664,1.14,7.86,10.32
114.0137772255065,22.69372046392833,2,193183,2512702,31.43,219.19,0.07,8.920922622,2.38,4.56,8.42
114.0137772255065,22.69372046392833,3,193183,2512702,27.23,173.84,0.07,7.896854772,2.99,4.03,7.71
114.0137772255065,22.69372046392833,4,193183,2512702,24.54,191.11,0.09,7.673219229,3.72,3.48,6.8
114.0137772255065,22.69372046392833,5,193183,2512702,28.45,179.06,0.09,9.211019117,6.33,3.04,4.28
114.01377624708496,22.693765571266105,1,193183,2512707,26.25,159.04,0.06,8.100504675,1.35,7.3,9.75
114.01377624708496,22.693765571266105,2,193183,2512707,31.22,161.83,0.07,9.431059027,2.62,3.86,10.07
114.01377624708496,22.693765571266105,3,193183,2512707,32.77,225.43,0.07,8.591837375,3.04,3.35,6.18
114.01377624708496,22.693765571266105,4,193183,2512707,33.51,213.06,0.09,7.997077205,5.11,3.36,6.78
114.01377624708496,22.693765571266105,5,193183,2512707,31.71,194.44,0.1,8.252353177,5.88,4.4,4
114.0137752686609,22.69381067860358,1,193183,2512712,32.33,221.59,0.06,8.71875572,1.23,6.91,9.27
114.0137752686609,22.69381067860358,2,193183,2512712,34.73,184.85,0.09,7.329810027,2.36,6.16,9.88
114.0137752686609,22.69381067860358,3,193183,2512712,27.36,176.56,0.08,8.925901226,3.92,4.48,7.66
114.0137752686609,22.69381067860358,4,193183,2512712,24.53,212.93,0.07,7.762336921,4.95,3.31,4.92
114.0137752686609,22.69381067860358,5,193183,2512712,29.69,171.79,0.07,7.641182911,5.28,3.72,4.95
114.01377429023437,22.69385578594076,1,193183,2512717,27.22,200.63,0.07,8.96663637,1.11,6.3,11.13
114.01377429023437,22.69385578594076,2,193183,2512717,27.7,201.8,0.08,7.632710096,2.16,6,8.18
114.01377429023437,22.69385578594076,3,193183,2512717,36.36,209.34,0.06,8.673315497,2.82,2.79,6.78
114.01377429023437,22.69385578594076,4,193183,2512717,23.72,173.51,0.07,9.414846853,3.56,3.37,7.01
114.01377429023437,22.69385578594076,5,193183,2512717,24.96,236.73,0.08,8.58900953,6.2,2.72,4.7
114.01377331180537,22.69390089327765,1,193183,2512722,36.12,177.57,0.07,8.999686111,1.52,11.1,12.22
114.01377331180537,22.69390089327765,2,193183,2512722,30.68,212.34,0.09,8.999057248,2.73,3.18,8.21
114.01377331180537,22.69390089327765,3,193183,2512722,31.93,182.23,0.07,9.476599769,2.72,3.42,6.97
114.01377331180537,22.69390089327765,4,193183,2512722,27.14,193.97,0.08,8.998955899,4.62,3.65,5.92
114.01377331180537,22.69390089327765,5,193183,2512722,24.5,194.98,0.09,8.623588665,6.17,2.91,4.38
114.01377233337386,22.69394600061425,1,193183,2512727,38.81,188.04,0.07,9.100046373,1.3,7.86,9.72
114.01377233337386,22.69394600061425,2,193183,2512727,32.45,201.68,0.08,8.746435163,2.78,4.36,10.74
114.01377233337386,22.69394600061425,3,193183,2512727,27.47,204.02,0.06,8.785685842,3.63,3.41,7.84
114.01377233337386,22.69394600061425,4,193183,2512727,32.55,220.04,0.07,9.012340383,4.09,2.84,4.99
114.01377233337386,22.69394600061425,5,193183,2512727,29.58,211.18,0.08,9.134058518,5.61,3.33,3.94
114.01377135493988,22.693991107950552,1,193183,2512732,37.16,162.12,0.08,8.47643235,1.15,6.9,9.73
114.01377135493988,22.693991107950552,2,193183,2512732,30.01,163.49,0.08,9.203795386,2.37,3.37,8.11
114.01377135493988,22.693991107950552,3,193183,2512732,35.47,199.23,0.06,7.240948499,3.81,3.13,6.99
114.01377135493988,22.693991107950552,4,193183,2512732,34.79,215.4,0.07,8.417165772,4.96,4.18,6.32
114.01377135493988,22.693991107950552,5,193183,2512732,31.03,216,0.09,8.294557659,6.39,4.7,4.83
114.01382877442764,22.693586049749303,1,193188,2512687,34.88,220.06,0.07,9.117922608,1.56,7.78,11.87
114.01382877442764,22.693586049749303,2,193188,2512687,30.17,168.88,0.07,8.798786464,2.29,4.58,8.04
114.01382877442764,22.693586049749303,3,193188,2512687,31.79,155.97,0.07,7.657885547,3.91,2.96,6.53
114.01382877442764,22.693586049749303,4,193188,2512687,32.68,196.64,0.08,9.43823014,4.38,3.93,6.19
114.01382877442764,22.693586049749303,5,193188,2512687,28.62,215.42,0.09,8.412422596,5.63,3.35,4.92
114.01382779602942,22.69363115708996,1,193188,2512692,28.66,183.57,0.08,8.113584787,1.41,7.98,11.19
114.01382779602942,22.69363115708996,2,193188,2512692,36.06,186.65,0.08,9.072036296,2.37,6.18,8.76
114.01382779602942,22.69363115708996,3,193188,2512692,33.03,166.48,0.06,8.801285265,3.33,4.5,6.53
114.01382779602942,22.69363115708996,4,193188,2512692,33.17,234.41,0.07,8.282608794,5.11,2.66,6.25
114.01382779602942,22.69363115708996,5,193188,2512692,29.98,179.53,0.08,7.992120907,5.89,3.77,5.24
114.01382681762868,22.693676264430323,1,193188,2512697,31.83,165.39,0.07,9.483819017,1.41,6.91,8.82
114.01382681762868,22.693676264430323,2,193188,2512697,30.34,153.03,0.08,9.139826571,2.23,5.36,10.6
114.01382681762868,22.693676264430323,3,193188,2512697,30.92,180.1,0.07,7.374178458,3.73,4.4,8.93
114.01382681762868,22.693676264430323,4,193188,2512697,30.15,212.81,0.07,9.439238087,4.86,2.21,5.05
114.01382681762868,22.693676264430323,5,193188,2512697,24.47,197.77,0.09,8.070413461,6.07,3.61,3.78
114.01382583922548,22.69372137177039,1,193188,2512702,38.46,196.83,0.06,9.417044655,1.09,6.94,12.01
114.01382583922548,22.69372137177039,2,193188,2512702,37.07,206.96,0.07,8.168321034,1.97,4.02,8.3
114.01382583922548,22.69372137177039,3,193188,2512702,28.75,165.26,0.07,7.63866533,3.51,2.81,8.97
114.01382583922548,22.69372137177039,4,193188,2512702,24.72,223.81,0.07,7.57359273,4.24,3.83,7.07
114.01382583922548,22.69372137177039,5,193188,2512702,28.83,185.05,0.07,8.114494678,6.36,3.55,5.14
114.01382486081978,22.693766479110167,1,193188,2512707,36.11,161.76,0.08,8.859258493,1.19,10.7,8.9
114.01382486081978,22.693766479110167,2,193188,2512707,26.69,200.5,0.07,8.945021852,2.01,4.98,10.6
114.01382486081978,22.693766479110167,3,193188,2512707,26.12,203.44,0.08,9.136372118,3.32,4.36,8.66
114.01382486081978,22.693766479110167,4,193188,2512707,25.43,182.11,0.09,8.744311005,4.34,4.5,6.49
114.01382486081978,22.693766479110167,5,193188,2512707,27.4,209.65,0.07,8.88540957,4.78,3.65,3.63
114.0138238824116,22.693811586449645,1,193188,2512712,36.36,178.45,0.08,8.674736789,1.47,9.8,10.39
114.0138238824116,22.693811586449645,2,193188,2512712,37.21,156.91,0.07,7.686880637,2.57,5.04,9.3
114.0138238824116,22.693811586449645,3,193188,2512712,28.61,166.99,0.07,8.919133544,3.53,2.89,7.16
114.0138238824116,22.693811586449645,4,193188,2512712,29.78,167.52,0.09,9.495961605,4.53,3.19,5.51
114.0138238824116,22.693811586449645,5,193188,2512712,28.28,211.73,0.08,9.449985123,6.34,3.23,4.48
114.01382290400096,22.69385669378883,1,193188,2512717,35.25,171.7,0.07,9.0889436,1.4,8.43,11.69
114.01382290400096,22.69385669378883,2,193188,2512717,30.93,186.4,0.08,9.418140013,2.21,3.55,7.8
114.01382290400096,22.69385669378883,3,193188,2512717,35.07,170.46,0.06,9.156337506,3.68,3.96,7.2
114.01382290400096,22.69385669378883,4,193188,2512717,31.1,172.62,0.08,8.256554476,5.03,4.01,4.95
114.01382290400096,22.69385669378883,5,193188,2512717,27.09,236.86,0.08,8.811028088,6.38,4.31,3.93
114.0138219255878,22.693901801127723,1,193188,2512722,30.68,183.79,0.08,8.870452622,1.39,6.95,9.77
114.0138219255878,22.693901801127723,2,193188,2512722,37.43,220.19,0.06,9.142368369,1.87,3.96,9.65
114.0138219255878,22.693901801127723,3,193188,2512722,32.85,193.29,0.08,8.470627389,2.82,2.45,8.58
114.0138219255878,22.693901801127723,4,193188,2512722,31.13,235.19,0.07,8.053571045,3.96,3.07,5.34
114.0138219255878,22.693901801127723,5,193188,2512722,33.27,197.31,0.08,8.629578291,4.74,3.34,4.33
114.01382094717218,22.69394690846632,1,193188,2512727,36.84,169.94,0.06,9.002547955,1.38,5.66,8.71
114.01382094717218,22.69394690846632,2,193188,2512727,33.06,224.35,0.07,8.884282385,2.24,3.46,8
114.01382094717218,22.69394690846632,3,193188,2512727,27.82,222.77,0.09,8.009022153,3.17,4.35,7.07
114.01382094717218,22.69394690846632,4,193188,2512727,25.72,233.7,0.09,9.19854331,3.74,3.65,5.2
114.01382094717218,22.69394690846632,5,193188,2512727,25.09,177.88,0.07,7.361584903,5.97,4,4.03
114.01381996875408,22.693992015804625,1,193188,2512732,35.15,168.46,0.07,9.454574313,1.56,6.16,9.91
114.01381996875408,22.693992015804625,2,193188,2512732,25.48,203.81,0.07,9.036501771,2.11,4.86,9.11
114.01381996875408,22.693992015804625,3,193188,2512732,36.1,209.64,0.09,9.197473652,3.03,4.21,8.3
114.01381996875408,22.693992015804625,4,193188,2512732,23.8,189.51,0.07,9.096312671,4.18,3.33,6.48
114.01381996875408,22.693992015804625,5,193188,2512732,31.71,224.22,0.07,7.348554335,5.82,3.08,3.88
114.0138189903335,22.694037123142635,1,193188,2512737,30.52,154.55,0.07,8.932155529,1.29,7.23,9.89
114.0138189903335,22.694037123142635,2,193188,2512737,36.93,161.8,0.09,9.025425281,2.75,4.8,7.8
114.0138189903335,22.694037123142635,3,193188,2512737,26.81,220.06,0.07,8.49128962,3.12,3.99,8.62
114.0138189903335,22.694037123142635,4,193188,2512737,29.3,187.56,0.07,7.212562975,3.52,3.74,5.46
114.0138189903335,22.694037123142635,5,193188,2512737,25.4,234.76,0.1,8.633279199,5.42,2.92,4.64
114.01381801191044,22.69408223048035,1,193188,2512742,32.58,154.12,0.06,8.837389157,1.17,7.43,12
114.01381801191044,22.69408223048035,2,193188,2512742,37.77,207.48,0.07,7.33403808,2.18,4.21,10.57
114.01381801191044,22.69408223048035,3,193188,2512742,29.55,161.56,0.08,8.669953676,2.93,3.63,6.77
114.01381801191044,22.69408223048035,4,193188,2512742,34.88,219.85,0.09,7.711226711,3.66,3.48,7.04
114.01381801191044,22.69408223048035,5,193188,2512742,23.49,188.59,0.09,7.919597667,5.72,4.12,5.29
114.0138773881015,22.69358695757064,1,193193,2512687,36.73,214.74,0.08,7.742287385,1.4,10.64,12.42
114.0138773881015,22.69358695757064,2,193193,2512687,37.19,151.72,0.08,7.833899509,2.12,4.3,10.47
114.0138773881015,22.69358695757064,3,193193,2512687,30.61,172.09,0.08,8.987076128,3.77,4.93,6.46
114.0138773881015,22.69358695757064,4,193193,2512687,24.67,200.75,0.08,7.389173651,4.01,3.72,5.52
114.0138773881015,22.69358695757064,5,193193,2512687,31.91,189.2,0.09,8.615448719,5.4,3.74,4.9
114.01387640971912,22.69363206491329,1,193193,2512692,36.83,162.84,0.08,7.807729329,1.4,7.03,11.72
114.01387640971912,22.69363206491329,2,193193,2512692,37.5,181.77,0.07,8.58283084,2.56,4.24,9.64
114.01387640971912,22.69363206491329,3,193193,2512692,30.04,157.06,0.07,8.110716762,3.88,3.02,7.77
114.01387640971912,22.69363206491329,4,193193,2512692,33.05,183.57,0.08,9.129203505,3.77,3.47,5.17
114.01387640971912,22.69363206491329,5,193193,2512692,27.59,183.51,0.09,9.42022199,4.97,4.09,4.57
114.01387543133428,22.69367717225565,1,193193,2512697,37.52,174.42,0.06,9.472547706,1.41,7.08,11.84
114.01387543133428,22.69367717225565,2,193193,2512697,33.17,181.25,0.08,8.991795312,2.08,3.81,7.49
114.01387543133428,22.69367717225565,3,193193,2512697,26.67,223.59,0.09,7.788367302,3.08,3.04,8.9
114.01387543133428,22.69367717225565,4,193193,2512697,28.15,188.32,0.08,7.650520857,4.81,3.24,5.92
114.01387543133428,22.69367717225565,5,193193,2512697,23.79,205.74,0.08,8.828476749,6.01,2.86,3.82
114.01387445294694,22.69372227959772,1,193193,2512702,38.56,217.78,0.06,8.891228681,1.29,6.89,9.52
114.01387445294694,22.69372227959772,2,193193,2512702,25.93,214.63,0.08,9.171133483,2.21,3.46,8.43
114.01387445294694,22.69372227959772,3,193193,2512702,30.62,192.61,0.08,8.699447535,3.11,2.89,6.54
114.01387445294694,22.69372227959772,4,193193,2512702,28.94,159.75,0.08,9.063434031,4.15,4.51,5.38
114.01387445294694,22.69372227959772,5,193193,2512702,32.35,206.71,0.08,8.850491488,5.62,2.63,4.85
114.0138734745571,22.693767386939506,1,193193,2512707,33.54,200.62,0.08,8.910639271,1.07,8.5,10.43
114.0138734745571,22.693767386939506,2,193193,2512707,28.05,224,0.08,7.966819052,2.61,4.54,7.98
114.0138734745571,22.693767386939506,3,193193,2512707,28.19,183.64,0.08,9.085608734,3.14,2.61,6.23
114.0138734745571,22.693767386939506,4,193193,2512707,29.64,211.05,0.09,9.256715218,5.05,2.55,4.87
114.0138734745571,22.693767386939506,5,193193,2512707,24.51,230.49,0.1,9.234520799,5.26,3.43,4.76
114.0138724961648,22.693812494280984,1,193193,2512712,37.42,217.33,0.07,9.434059446,1.42,6.97,9.78
114.0138724961648,22.693812494280984,2,193193,2512712,27.92,184.21,0.08,8.922208591,2.1,5.34,7.54
114.0138724961648,22.693812494280984,3,193193,2512712,25.6,210.61,0.09,7.437251202,3.42,3.98,6.23
114.0138724961648,22.693812494280984,4,193193,2512712,27.89,201.58,0.07,8.671413442,4.76,3.45,4.9
114.0138724961648,22.693812494280984,5,193193,2512712,24.28,234.94,0.07,9.345450998,4.46,4.02,5.14
114.01387151777004,22.69385760162217,1,193193,2512717,38.9,152.75,0.07,8.632748727,1.46,6.4,8.67
114.01387151777004,22.69385760162217,2,193193,2512717,26.53,177.59,0.08,7.947885502,2.49,4.88,7.55
114.01387151777004,22.69385760162217,3,193193,2512717,33.16,186.73,0.09,8.373765758,3.69,3.6,7.41
114.01387151777004,22.69385760162217,4,193193,2512717,31.06,205.9,0.09,9.178418822,4.52,2.84,6.59
114.01387151777004,22.69385760162217,5,193193,2512717,33.76,178.71,0.07,8.774930322,4.76,2.91,5.08
114.01387053937276,22.693902708963066,1,193193,2512722,27.53,163.08,0.07,8.498207509,1.15,5.63,11.69
114.01387053937276,22.693902708963066,2,193193,2512722,27.19,187.71,0.07,8.963955535,2.23,5.28,9.04
114.01387053937276,22.693902708963066,3,193193,2512722,34.57,221.51,0.07,8.585627478,3.84,4.63,8.24
114.01387053937276,22.693902708963066,4,193193,2512722,29.42,189.32,0.07,9.383024468,3.94,4.41,5.65
114.01387053937276,22.693902708963066,5,193193,2512722,32.43,215.74,0.09,8.619031004,5.58,4.3,4.28
114.013869560973,22.693947816303663,1,193193,2512727,34.08,197.68,0.07,9.207049454,1.47,6.92,10.75
114.013869560973,22.693947816303663,2,193193,2512727,37.5,212.96,0.06,7.594344737,2.38,3.83,7.31
114.013869560973,22.693947816303663,3,193193,2512727,31.74,202.03,0.07,8.615653303,3.77,3.17,8.22
114.013869560973,22.693947816303663,4,193193,2512727,28.42,192.74,0.08,7.665083331,4.27,4.19,6.19
114.013869560973,22.693947816303663,5,193193,2512727,31.7,232.23,0.08,8.699825955,5.05,4.36,4.19
114.01386858257077,22.693992923643968,1,193193,2512732,30.3,193.2,0.06,8.957561695,1.59,9.8,11.46
114.01386858257077,22.693992923643968,2,193193,2512732,27.34,206.61,0.07,7.692581973,2.56,4.48,9.17
114.01386858257077,22.693992923643968,3,193193,2512732,26.44,216.93,0.07,8.28707072,2.86,2.51,6.43
114.01386858257077,22.693992923643968,4,193193,2512732,34.77,219.99,0.09,8.666262941,4.79,3.79,5.47
114.01386858257077,22.693992923643968,5,193193,2512732,24.69,192.2,0.08,7.427912663,6.2,3.3,5.06
114.01386760416604,22.69403803098398,1,193193,2512737,29.18,163.83,0.07,8.808929127,1.5,7.21,11.2
114.01386760416604,22.69403803098398,2,193193,2512737,28.38,168.68,0.07,8.87224933,1.9,5.68,10.7
114.01386760416604,22.69403803098398,3,193193,2512737,31.82,224.69,0.08,8.752505805,3.14,3.07,8.67
