lon,lat,depth_m,x,y,temp C,cond (uS/cm),salt,pH,turb NTU,chl(ug/L),odo(mg/L)
114.0056897966,22.6986877791,1,193173,2512692,18.55,191.70,0.06,9.02,1.47,5.05,12.64
114.0056316737,22.6985381127,2,193173,2512692,28.45,197.66,0.08,7.28,2.79,2.83,10.37
114.0057683396,22.6986435154,3,193173,2512692,19.39,224.27,0.06,7.10,3.65,1.67,9.96
114.0057640258,22.6986375199,4,193173,2512692,20.36,210.57,0.08,7.80,4.07,1.39,6.01
114.0057368408,22.6985861805,5,193173,2512692,22.90,172.61,0.07,9.50,4.56,1.96,4.31
114.0056387594,22.6986111779,1,193173,2512697,23.67,175.76,0.06,9.50,1.40,4.33,12.42
114.0056981655,22.6987715962,2,193173,2512697,20.87,200.16,0.06,8.72,2.84,2.27,9.40
114.0057569582,22.6987221529,3,193173,2512697,21.01,170.69,0.08,9.16,3.59,2.35,7.21
114.0057613818,22.6987331074,4,193173,2512697,17.17,214.71,0.09,9.31,3.76,1.62,5.72
114.0056988441,22.6986539652,5,193173,2512697,24.22,200.61,0.09,8.76,4.54,1.85,6.10
114.0057221438,22.6986860624,1,193173,2512702,21.57,163.44,0.07,9.06,1.08,3.62,13.51
114.0056067862,22.6988114870,2,193173,2512702,25.12,188.34,0.08,9.50,2.60,2.33,9.76
114.0057556849,22.6986371349,3,193173,2512702,20.00,161.03,0.08,7.49,3.24,1.53,10.09
114.0056941009,22.6986512778,4,193173,2512702,17.81,181.92,0.07,8.18,4.73,1.53,6.37
114.0057590812,22.6988146801,5,193173,2512702,20.06,194.31,0.07,7.21,5.10,1.69,5.54
114.0056549375,22.6987911861,1,193173,2512707,20.22,151.79,0.06,9.42,1.31,4.38,11.76
114.0057788525,22.6988276055,2,193173,2512707,24.95,189.28,0.06,9.22,2.34,2.27,9.31
114.0056514698,22.6988346598,3,193173,2512707,23.76,232.38,0.06,8.28,3.53,1.76,9.79
114.0055975358,22.6987181438,4,193173,2512707,18.84,191.18,0.07,9.50,3.50,1.75,8.05
114.0057086255,22.6988254722,5,193173,2512707,23.96,214.05,0.07,8.86,6.36,1.69,4.45
114.0056572622,22.6987443336,1,193173,2512712,20.87,197.35,0.08,8.42,1.57,3.27,10.52
114.0057142247,22.6987882219,2,193173,2512712,26.19,190.89,0.07,8.89,2.38,3.33,9.46
114.0056085552,22.6987235573,3,193173,2512712,19.38,191.69,0.06,9.50,3.55,1.96,7.97
114.0056877338,22.6988277449,4,193173,2512712,23.32,176.25,0.08,8.71,4.91,2.46,7.91
114.0056729862,22.6988802372,5,193173,2512712,24.67,243.63,0.08,8.78,5.56,1.71,4.68
114.0057020712,22.6987709534,1,193173,2512717,21.82,143.43,0.06,9.50,1.58,3.50,12.86
114.0057376127,22.6987928127,2,193173,2512717,25.42,174.51,0.07,9.27,2.18,1.70,9.64
114.0056013497,22.6989312152,3,193173,2512717,25.50,167.71,0.06,8.62,3.60,2.14,9.92
114.0055945261,22.6989166978,4,193173,2512717,26.31,165.61,0.08,9.40,3.55,2.50,6.58
114.0057266221,22.6988558583,5,193173,2512717,20.75,201.60,0.10,7.33,6.17,1.36,4.93
114.0057395214,22.6985721159,1,193178,2512692,26.93,165.80,0.07,8.19,1.46,3.00,11.64
114.0056645035,22.6986216159,2,193178,2512692,26.25,190.72,0.09,7.52,2.51,2.52,10.38
114.0056737188,22.6986501554,3,193178,2512692,22.09,145.76,0.07,7.99,2.93,1.78,8.60
114.0058203767,22.6985693081,4,193178,2512692,18.61,158.92,0.07,7.53,5.22,2.14,8.35
114.0056438127,22.6986491621,5,193178,2512692,19.81,203.01,0.08,8.59,5.32,1.73,5.36
114.0057566616,22.6987295414,1,193178,2512697,20.87,190.79,0.07,9.50,1.36,3.99,14.80
114.0058267009,22.6986391545,2,193178,2512697,25.63,182.95,0.08,8.11,2.51,2.00,10.91
114.0057544521,22.6986928072,3,193178,2512697,20.20,174.63,0.08,7.37,2.79,1.65,9.92
114.0057558281,22.6987296729,4,193178,2512697,21.86,182.40,0.08,8.97,3.76,1.55,6.13
114.0057238011,22.6987462969,5,193178,2512697,24.54,158.00,0.08,8.02,5.88,1.63,5.06
114.0056701170,22.6987774203,1,193178,2512702,27.31,190.61,0.07,8.53,1.34,2.79,13.94
114.0056933835,22.6987250018,2,193178,2512702,21.73,183.11,0.08,8.31,1.80,2.54,13.00
114.0058227536,22.6987273353,3,193178,2512702,20.98,163.39,0.09,8.59,2.87,1.85,7.79
114.0057022955,22.6988067560,4,193178,2512702,22.45,183.65,0.07,7.63,3.84,1.47,9.08
114.0058070871,22.6986719661,5,193178,2512702,25.12,203.86,0.08,8.00,4.75,1.43,6.23
114.0058154672,22.6987230258,1,193178,2512707,19.39,194.88,0.06,9.50,1.42,2.88,10.57
114.0056998662,22.6986977850,2,193178,2512707,26.47,211.51,0.06,7.84,1.79,2.15,10.38
114.0057694095,22.6987785283,3,193178,2512707,22.26,159.20,0.08,8.99,2.64,1.34,10.18
114.0057440671,22.6988280297,4,193178,2512707,18.87,199.80,0.09,8.31,3.50,1.64,5.47
114.0057862231,22.6988071304,5,193178,2512707,18.61,230.57,0.08,8.76,5.29,1.91,5.32
114.0057890910,22.6988739519,1,193178,2512712,30.25,155.09,0.09,8.52,1.38,3.63,12.18
114.0056493231,22.6988322980,2,193178,2512712,26.95,192.99,0.06,8.02,2.03,3.19,12.11
114.0058187854,22.6987342438,3,193178,2512712,19.84,199.42,0.07,8.86,2.70,2.33,9.52
114.0058189232,22.6988489359,4,193178,2512712,17.84,222.47,0.09,7.26,4.59,1.52,6.66
114.0057082388,22.6988269786,5,193178,2512712,19.73,248.54,0.08,9.04,5.83,1.34,4.46
114.0058249782,22.6987909929,1,193178,2512717,23.39,180.76,0.08,9.50,1.52,4.96,12.24
114.0057598099,22.6988178447,2,193178,2512717,27.25,240.90,0.06,9.50,2.59,1.93,9.50
114.0057824416,22.6989143520,3,193178,2512717,21.04,182.54,0.08,8.97,2.97,1.67,10.12
114.0057525410,22.6988923357,4,193178,2512717,20.75,224.84,0.08,8.93,4.46,2.29,7.62
114.0057097240,22.6988331275,5,193178,2512717,23.33,155.26,0.08,9.50,6.02,2.13,4.76
114.0058136640,22.6989278933,1,193178,2512722,24.87,169.41,0.09,9.50,1.27,3.53,10.45
114.0056774056,22.6989135969,2,193178,2512722,29.01,178.50,0.08,7.84,2.04,2.71,10.12
114.0056286869,22.6988076685,3,193178,2512722,29.12,190.19,0.09,8.98,3.11,1.60,9.61
114.0057782139,22.6988682937,4,193178,2512722,27.10,224.48,0.08,7.86,4.18,1.80,7.88
114.0057305940,22.6988286566,5,193178,2512722,21.02,172.72,0.07,9.07,5.14,1.41,5.02
114.0056306933,22.6990170796,1,193178,2512727,26.90,217.20,0.07,8.20,1.33,4.91,15.30
114.0057214898,22.6988940333,2,193178,2512727,23.89,186.74,0.06,9.50,2.01,2.58,11.04
114.0057123402,22.6989248890,3,193178,2512727,21.77,168.07,0.07,8.98,3.54,2.38,9.82
114.0056666701,22.6990311147,4,193178,2512727,24.16,175.24,0.08,9.18,4.42,1.91,6.50
114.0058191940,22.6988736918,5,193178,2512727,24.62,248.35,0.10,8.60,4.49,1.20,6.44
114.0058207521,22.6986767874,1,193183,2512692,21.65,160.12,0.06,8.80,1.45,3.23,10.84
114.0058267431,22.6986206811,2,193183,2512692,26.74,144.52,0.07,8.77,2.60,2.10,9.67
114.0058214053,22.6986937660,3,193183,2512692,19.61,213.89,0.07,8.22,3.72,1.35,9.38
114.0057698913,22.6986697339,4,193183,2512692,24.61,210.91,0.07,8.63,4.97,1.75,8.18
114.0058137450,22.6986416472,5,193183,2512692,17.27,219.86,0.07,7.52,4.97,1.58,5.16
114.0058067012,22.6987405102,1,193183,2512697,21.91,207.27,0.07,9.50,1.12,2.92,12.72
114.0058105650,22.6987371414,2,193183,2512697,22.93,172.10,0.08,8.35,2.53,2.15,10.90
114.0057723754,22.6987030033,3,193183,2512697,17.96,150.64,0.06,8.44,2.92,1.73,9.65
114.0057357466,22.6986427506,4,193183,2512697,23.46,171.79,0.08,8.94,3.27,1.58,6.73
114.0057076985,22.6985942403,5,193183,2512697,26.06,200.35,0.10,8.26,5.38,1.65,6.19
114.0058328619,22.6986572886,1,193183,2512702,22.75,162.73,0.06,9.33,1.16,3.73,11.81
114.0058771940,22.6987358731,2,193183,2512702,22.72,206.52,0.07,8.52,2.35,2.42,9.34
114.0058112890,22.6988026588,3,193183,2512702,21.81,178.87,0.07,7.69,2.98,1.85,9.29
114.0057290848,22.6986521345,4,193183,2512702,17.71,188.42,0.09,7.23,3.66,1.66,8.22
114.0057211427,22.6986948755,5,193183,2512702,20.57,187.88,0.09,8.61,5.89,1.46,4.91
114.0058299074,22.6986903578,1,193183,2512707,19.39,160.78,0.06,7.82,1.39,3.60,11.81
114.0056774996,22.6986838732,2,193183,2512707,22.58,149.08,0.07,9.17,2.54,1.97,12.61
114.0056979018,22.6988223786,3,193183,2512707,26.16,229.78,0.07,8.19,2.83,1.71,7.52
114.0057383547,22.6987414127,4,193183,2512707,25.72,214.64,0.09,8.22,5.19,1.80,8.42
114.0057508558,22.6987297135,5,193183,2512707,23.12,199.49,0.10,8.55,5.98,2.05,4.66
114.0058515534,22.6987423906,1,193183,2512712,22.54,232.41,0.06,8.37,1.24,3.50,11.56
114.0057378125,22.6987764326,2,193183,2512712,25.11,176.26,0.09,7.51,2.22,3.02,12.42
114.0057317674,22.6987284035,3,193183,2512712,21.37,172.36,0.09,8.38,4.12,2.36,8.93
114.0058745707,22.6988066418,4,193183,2512712,18.71,208.48,0.07,7.79,5.06,1.69,5.65
114.0057237463,22.6987225280,5,193183,2512712,21.10,181.84,0.06,7.24,5.62,1.82,5.86
114.0058506865,22.6987710785,1,193183,2512717,21.77,191.96,0.07,9.50,1.04,2.98,14.04
114.0056892613,22.6988678194,2,193183,2512717,21.95,201.19,0.08,7.78,1.99,3.10,10.25
114.0057125049,22.6987599859,3,193183,2512717,28.48,213.75,0.06,8.05,2.80,1.50,8.40
114.0057233607,22.6987918782,4,193183,2512717,16.41,163.28,0.07,9.30,3.72,1.74,8.98
114.0058059626,22.6988550511,5,193183,2512717,17.44,255.61,0.08,8.50,6.48,1.25,5.72
114.0057812902,22.6988237463,1,193183,2512722,27.91,182.30,0.07,8.60,1.48,5.75,15.22
114.0057768689,22.6988022660,2,193183,2512722,22.79,199.49,0.09,8.56,2.94,1.49,9.59
114.0058066275,22.6989003262,3,193183,2512722,24.98,175.75,0.08,9.50,2.86,1.63,8.34
114.0056793536,22.6989223893,4,193183,2512722,18.88,198.07,0.08,9.46,4.27,1.97,6.92
114.0058419456,22.6988079318,5,193183,2512722,18.46,202.08,0.09,8.47,5.84,1.44,5.10
114.0057592513,22.6990250437,1,193183,2512727,28.10,177.36,0.07,8.67,1.31,3.85,12.20
114.0058034191,22.6989971669,2,193183,2512727,26.03,200.26,0.08,9.20,2.77,2.19,12.61
114.0057648577,22.6989488398,3,193183,2512727,19.93,189.88,0.06,8.98,3.80,1.79,9.70
114.0057058394,22.6988981521,4,193183,2512727,23.36,236.07,0.07,9.28,3.78,1.32,6.25
114.0056801989,22.6989931473,5,193183,2512727,20.54,204.91,0.07,9.28,5.63,1.70,4.64
114.0057926532,22.6990859190,1,193183,2512732,26.02,155.73,0.08,8.79,1.11,3.60,12.61
114.0058590280,22.6989627312,2,193183,2512732,23.96,160.86,0.08,9.17,2.29,1.69,9.64
114.0058345471,22.6989940159,3,193183,2512732,25.20,207.89,0.06,7.04,3.84,1.63,8.39
114.0056798232,22.6990291346,4,193183,2512732,26.73,207.32,0.07,9.00,4.63,1.96,7.10
114.0058542433,22.6990431856,5,193183,2512732,23.14,204.22,0.09,7.99,6.57,2.42,6.11
114.0059274654,22.6985769607,1,193188,2512687,27.00,223.73,0.07,9.40,1.65,3.99,13.70
114.0057535028,22.6985678952,2,193188,2512687,21.32,164.47,0.06,8.36,2.34,2.37,9.97
114.0057596465,22.6985198097,3,193188,2512687,22.49,156.98,0.07,7.36,4.14,1.53,7.54
114.0059227048,22.6986032017,4,193188,2512687,24.32,205.68,0.08,9.24,4.72,1.82,7.64
114.0058447366,22.6986189917,5,193188,2512687,21.73,227.01,0.10,8.00,5.24,1.70,5.94
114.0058610544,22.6986725485,1,193188,2512692,22.05,190.92,0.08,8.67,1.50,4.12,14.47
114.0057486790,22.6986796824,2,193188,2512692,25.16,186.51,0.08,9.31,2.21,3.04,9.72
114.0057598889,22.6986717275,3,193188,2512692,25.13,176.88,0.06,8.67,3.39,2.17,7.79
114.0058115314,22.6986950963,4,193188,2512692,23.06,227.47,0.08,8.19,4.80,1.23,7.84
114.0058845973,22.6987019539,5,193188,2512692,21.06,180.97,0.08,7.66,6.26,1.93,6.01
114.0058183887,22.6985862261,1,193188,2512697,24.62,173.14,0.08,8.76,1.33,3.71,10.26
114.0059156824,22.6987059636,2,193188,2512697,22.64,144.11,0.08,9.50,2.12,2.69,12.80
114.0057767267,22.6987492663,3,193188,2512697,23.44,186.36,0.07,7.45,3.79,2.06,10.70
114.0059150035,22.6985852361,4,193188,2512697,24.08,218.02,0.07,9.48,5.05,1.17,6.29
114.0057614993,22.6986727961,5,193188,2512697,18.63,188.72,0.08,8.60,6.52,1.94,4.37
114.0058209350,22.6986723258,1,193188,2512702,27.13,183.65,0.06,9.10,1.04,3.42,14.30
114.0057360894,22.6986467448,2,193188,2512702,29.98,202.04,0.07,8.53,2.03,2.12,9.55
114.0058029039,22.6987636314,3,193188,2512702,22.09,176.11,0.07,7.99,3.47,1.49,11.24
114.0058043324,22.6987042867,4,193188,2512702,19.88,237.89,0.07,7.40,3.98,2.06,9.13
114.0057699284,22.6988204912,5,193188,2512702,22.42,189.29,0.07,7.76,6.61,1.68,5.69
114.0059075684,22.6987636357,1,193188,2512707,24.98,162.62,0.08,9.26,1.21,5.42,11.18
114.0058268312,22.6988417721,2,193188,2512707,19.34,208.23,0.07,8.99,2.14,2.55,13.28
114.0059000182,22.6986916490,3,193188,2512707,20.59,209.67,0.08,9.14,3.44,2.06,9.74
114.0058778136,22.6987764281,4,193188,2512707,19.56,181.10,0.09,8.16,4.28,2.42,7.81
114.0057965170,22.6988634988,5,193188,2512707,20.90,220.93,0.07,8.87,4.99,1.73,4.57
114.0059027403,22.6987939260,1,193188,2512712,26.10,191.12,0.08,9.02,1.57,4.51,12.86
114.0057408449,22.6987267879,2,193188,2512712,29.45,161.45,0.07,7.12,2.48,2.48,11.82
114.0059078271,22.6987851446,3,193188,2512712,22.51,179.61,0.07,8.60,3.60,1.50,8.66
114.0057351689,22.6988937769,4,193188,2512712,21.25,169.46,0.09,9.50,4.75,1.59,7.08
114.0058565307,22.6988292813,5,193188,2512712,22.38,214.46,0.08,8.81,6.09,1.70,4.97
114.0057733412,22.6988050518,1,193188,2512717,26.96,163.54,0.07,9.13,1.45,4.50,13.43
114.0057752925,22.6988441703,2,193188,2512717,21.77,191.22,0.08,9.50,2.18,1.74,9.14
114.0058506903,22.6987957005,3,193188,2512717,25.54,166.53,0.06,9.48,3.91,2.06,9.14
114.0057845727,22.6988213048,4,193188,2512717,22.25,183.67,0.08,8.23,5.13,1.98,5.60
114.0057822175,22.6989069409,5,193188,2512717,20.78,227.34,0.07,9.05,6.74,2.23,4.97
114.0057380654,22.6988020406,1,193188,2512722,22.00,174.50,0.08,8.92,1.42,3.32,12.14
114.0057499819,22.6989294219,2,193188,2512722,28.58,232.23,0.06,9.50,1.90,2.00,12.44
114.0058766394,22.6988102767,3,193188,2512722,25.35,196.69,0.08,8.65,2.90,1.23,10.46
114.0058931018,22.6989459721,4,193188,2512722,23.97,238.31,0.07,7.58,4.26,1.43,6.00
114.0058527733,22.6989862665,5,193188,2512722,25.72,196.15,0.08,9.16,4.71,1.54,4.98
114.0057692959,22.6988531234,1,193188,2512727,28.90,170.13,0.06,9.50,1.35,3.00,10.99
114.0057675761,22.6989339832,2,193188,2512727,23.84,218.47,0.07,8.69,2.07,1.82,10.10
114.0058785135,22.6990070424,3,193188,2512727,20.22,208.57,0.08,7.94,3.26,2.02,8.39
114.0058399443,22.6989429932,4,193188,2512727,20.41,226.07,0.09,8.64,4.01,1.95,6.17
114.0058371193,22.6988766757,5,193188,2512727,18.98,171.40,0.07,7.95,5.95,1.97,4.54
114.0057416685,22.6989965557,1,193188,2512732,27.53,162.48,0.07,9.50,1.55,3.12,12.16
114.0058385766,22.6990145442,2,193188,2512732,17.80,210.72,0.07,8.74,2.26,2.27,10.91
114.0057346994,22.6989001302,3,193188,2512732,25.52,195.56,0.09,8.86,3.13,2.06,9.95
114.0057737263,22.6989397595,4,193188,2512732,18.18,185.13,0.07,8.63,4.42,1.71,7.82
114.0057633839,22.6990685870,5,193188,2512732,24.88,221.92,0.07,7.34,5.47,1.52,4.43
114.0057206010,22.6991189544,1,193188,2512737,22.41,147.74,0.06,9.26,1.26,3.42,11.71
114.0057812907,22.6990836876,2,193188,2512737,26.69,160.01,0.09,9.50,2.82,2.56,8.90
114.0057766297,22.6990914061,3,193188,2512737,18.96,208.92,0.08,8.73,2.91,2.00,10.81
114.0058361016,22.6989813849,4,193188,2512737,22.27,182.44,0.07,6.79,3.68,2.02,6.32
114.0058968849,22.6990186353,5,193188,2512737,19.36,225.64,0.10,8.44,5.01,1.40,5.50
114.0057261874,22.6990844362,1,193188,2512742,22.83,163.29,0.06,9.50,1.12,3.96,13.63
114.0058109248,22.6991028921,2,193188,2512742,28.94,213.33,0.07,7.45,2.02,2.17,12.80
114.0058631971,22.6991435838,3,193188,2512742,21.03,168.87,0.08,8.78,2.72,1.92,7.97
114.0059147034,22.6991102592,4,193188,2512742,27.54,219.47,0.09,8.16,3.83,1.67,9.04
114.0058579482,22.6990280082,5,193188,2512742,16.54,178.56,0.09,8.14,5.48,1.93,6.29
114.0058418223,22.6986352379,1,193193,2512687,25.72,200.07,0.08,7.83,1.48,4.96,13.81
114.0059512526,22.6985038159,2,193193,2512687,27.76,159.89,0.08,8.25,1.96,2.25,12.50
114.0058004220,22.6985443420,3,193193,2512687,22.67,178.72,0.08,8.59,3.67,2.40,7.39
114.0058501945,22.6985799922,4,193193,2512687,17.39,214.33,0.07,6.97,4.04,1.93,6.72
114.0059410646,22.6985278998,5,193193,2512687,23.98,190.72,0.10,7.98,5.03,1.85,5.42
114.0059697134,22.6986832088,1,193193,2512692,26.91,160.26,0.08,7.46,1.48,3.54,14.69
114.0058769654,22.6986552624,2,193193,2512692,29.45,183.00,0.08,7.97,2.75,2.21,11.68
114.0058084928,22.6985673007,3,193193,2512692,22.47,148.12,0.07,7.86,3.79,1.41,9.16
114.0059116744,22.6985584796,4,193193,2512692,24.56,177.55,0.08,9.08,3.94,1.62,6.61
114.0059096380,22.6985519834,5,193193,2512692,19.28,188.68,0.08,9.41,4.97,1.99,5.68
114.0058454832,22.6987281645,1,193193,2512697,29.69,178.99,0.06,9.05,1.48,3.81,13.73
114.0057865179,22.6986325300,2,193193,2512697,26.30,174.15,0.08,9.13,2.17,1.98,9.61
114.0058196377,22.6986755878,3,193193,2512697,20.14,237.66,0.10,8.01,3.13,1.42,11.30
114.0057918042,22.6985954336,4,193193,2512697,20.03,195.47,0.07,8.19,5.07,1.54,7.19
114.0059207025,22.6987743185,5,193193,2512697,18.62,213.67,0.08,8.66,6.14,1.50,4.93
114.0059208806,22.6987855810,1,193193,2512702,31.16,220.05,0.06,9.39,1.35,3.56,11.30
114.0058081648,22.6987006172,2,193193,2512702,18.83,209.27,0.09,9.34,2.28,1.86,10.86
114.0058293691,22.6986314341,3,193193,2512702,22.73,203.29,0.08,8.49,3.18,1.54,7.24
114.0059645565,22.6986677764,4,193193,2512702,22.71,165.23,0.08,9.50,4.07,2.33,6.22
114.0058844968,22.6986773286,5,193193,2512702,25.54,208.34,0.08,8.41,5.56,1.36,6.10
114.0058527864,22.6988577014,1,193193,2512707,25.98,184.95,0.08,9.35,1.14,3.96,11.77
114.0058411806,22.6988465809,2,193193,2512707,21.79,225.62,0.07,8.23,2.60,2.19,9.64
114.0058648818,22.6987795576,3,193193,2512707,22.05,183.95,0.08,9.37,3.29,1.38,6.95
114.0059379979,22.6987514788,4,193193,2512707,21.28,227.08,0.09,8.91,4.76,1.28,6.10
114.0058456374,22.6987944295,5,193193,2512707,17.24,213.64,0.10,8.98,5.25,1.78,6.00
114.0058156565,22.6987446661,1,193193,2512712,27.74,226.87,0.07,9.50,1.32,3.33,11.41
114.0058369324,22.6988900699,2,193193,2512712,22.56,186.33,0.08,8.75,2.16,2.63,9.18
114.0058019559,22.6989021416,3,193193,2512712,18.19,202.37,0.10,7.37,3.42,1.89,7.03
114.0058147443,22.6987499996,4,193193,2512712,20.80,190.96,0.07,8.04,4.89,1.84,5.47
114.0058134650,22.6988280739,5,193193,2512712,18.03,244.00,0.07,8.83,4.68,1.93,6.07
114.0058311643,22.6988074732,1,193193,2512717,26.85,140.56,0.07,8.37,1.52,3.02,10.06
114.0057884641,22.6989483316,2,193193,2512717,19.36,191.27,0.09,7.83,2.54,2.40,9.38
114.0059466972,22.6987774590,3,193193,2512717,22.96,199.31,0.08,8.89,3.66,1.89,9.10
114.0057954333,22.6988186132,4,193193,2512717,24.97,196.35,0.09,9.50,4.35,1.42,7.74
114.0058596331,22.6987646055,5,193193,2512717,25.42,192.20,0.07,9.12,4.79,1.50,6.37
114.0058244394,22.6988049030,1,193193,2512722,21.09,157.07,0.07,9.07,1.10,2.92,13.72
114.0059213201,22.6989231978,2,193193,2512722,20.84,200.27,0.07,8.57,2.13,2.71,10.07
114.0057991045,22.6989053271,3,193193,2512722,27.70,209.61,0.07,8.88,4.08,2.33,10.08
114.0057888000,22.6988903171,4,193193,2512722,23.33,178.11,0.06,9.17,3.64,2.15,6.66
114.0058002405,22.6988896835,5,193193,2512722,25.11,211.18,0.09,9.09,5.47,2.12,4.91
114.0057729661,22.6988797425,1,193193,2512727,25.67,198.67,0.08,9.30,1.44,3.23,12.36
114.0058247810,22.6988918640,2,193193,2512727,26.19,203.95,0.06,8.03,2.36,1.99,8.41
114.0057732081,22.6988974148,3,193193,2512727,23.55,213.37,0.07,8.28,3.47,1.50,10.46
114.0058626642,22.6989911150,4,193193,2512727,19.73,207.55,0.08,7.52,4.35,1.94,7.88
114.0059166564,22.6989000104,5,193193,2512727,22.66,244.66,0.08,8.52,5.03,2.25,5.08
114.0057906637,22.6990037550,1,193193,2512732,24.00,180.12,0.06,9.23,1.50,5.20,14.82
114.0059247008,22.6989714321,2,193193,2512732,21.42,221.76,0.07,7.51,2.42,2.12,10.61
114.0057810365,22.6990601308,3,193193,2512732,20.14,232.47,0.07,8.21,2.96,1.22,7.50
114.0059164952,22.6989103124,4,193193,2512732,27.66,206.57,0.08,8.98,4.58,1.88,6.77
114.0058320495,22.6990920775,5,193193,2512732,17.58,177.52,0.09,7.67,5.94,1.61,6.07
114.0058654421,22.6990892003,1,193193,2512737,21.71,167.99,0.07,8.75,1.62,3.71,13.86
114.0059385141,22.6990400406,2,193193,2512737,21.10,180.45,0.07,8.42,1.85,2.79,13.38
114.0058005244,22.6990088053,3,193193,2512737,23.68,225.43,0.09,8.90,3.37,1.50,10.36
114.0059265208,22.6990876436,4,193193,2512737,18.56,216.56,0.06,7.83,3.43,1.51,7.28
114.0059222244,22.6990735250,5,193193,2512737,21.88,201.23,0.08,7.84,5.31,1.31,6.16
114.0058917524,22.6991587473,1,193193,2512742,23.16,189.40,0.08,8.25,1.24,4.04,12.89
114.0058103229,22.6990523610,2,193193,2512742,20.05,216.73,0.08,9.00,2.32,2.64,12.01
114.0058049114,22.6990583658,3,193193,2512742,21.73,237.38,0.08,8.85,2.51,1.45,9.80
114.0059481942,22.6990556412,4,193193,2512742,17.16,208.00,0.09,9.50,3.72,2.05,8.04
114.0059102798,22.6990237712,5,193193,2512742,24.98,197.53,0.08,7.66,6.32,1.81,4.52
114.0059235474,22.6992148830,1,193193,2512747,27.45,186.00,0.06,8.10,1.65,4.74,13.93
114.0058458572,22.6991812639,2,193193,2512747,27.10,199.78,0.07,8.39,2.24,2.62,12.74
114.0058889853,22.6991398747,3,193193,2512747,21.50,153.89,0.08,9.50,3.83,1.45,9.80
114.0059272152,22.6991134966,4,193193,2512747,18.74,187.63,0.09,7.67,4.80,2.02,6.94
114.0058747308,22.6991726327,5,193193,2512747,24.27,184.60,0.07,9.08,4.86,1.75,5.86
114.0058171203,22.6992277602,1,193193,2512752,29.81,224.46,0.07,8.64,1.58,4.67,11.18
114.0058158068,22.6990903697,2,193193,2512752,19.58,182.80,0.07,8.60,2.01,2.58,9.35
114.0059559694,22.6991362816,3,193193,2512752,19.04,185.36,0.06,9.50,3.47,1.59,10.51
114.0059358858,22.6991442000,4,193193,2512752,19.63,157.42,0.08,8.02,4.55,1.76,7.12
114.0058306493,22.6992051598,5,193193,2512752,20.54,161.28,0.10,8.54,5.61,1.57,4.78
114.0058963367,22.6986055029,1,193198,2512687,28.20,204.06,0.06,9.50,1.08,5.64,11.33
114.0058836503,22.6985412949,2,193198,2512687,24.58,171.73,0.08,7.58,2.16,2.29,10.66
