lon,lat,depth_m,x,y,temp C,cond (uS/cm),salt,pH,turb NTU,chl(ug/L),odo(mg/L)
114.0237421524,22.6837949332,1,193173,2512702,37.60,152.51,0.07,8.24,1.23,12.21,10.40
114.0236333592,22.6837761249,2,193173,2512702,35.56,188.19,0.08,9.50,2.68,7.80,7.80
114.0237390672,22.6836641691,3,193173,2512702,28.72,173.06,0.09,7.10,3.80,4.41,7.04
114.0236599338,22.6838148799,4,193173,2512702,24.82,177.32,0.07,9.28,5.81,4.56,4.61
114.0236016786,22.6837055628,5,193173,2512702,31.99,210.62,0.06,8.34,4.27,6.20,3.66
114.0237207767,22.6836640938,1,193173,2512707,35.09,148.68,0.06,9.04,1.26,12.81,7.33
114.0237118672,22.6837297955,2,193173,2512707,41.43,177.59,0.06,9.50,2.53,7.11,5.59
114.0236381507,22.6836892131,3,193173,2512707,33.88,254.11,0.06,8.13,3.44,5.07,6.35
114.0235791008,22.6837211383,4,193173,2512707,27.77,215.87,0.07,9.50,3.84,5.10,5.36
114.0237592558,22.6838229605,5,193173,2512707,38.26,208.37,0.07,9.30,5.84,4.60,3.37
114.0237126003,22.6837537910,1,193173,2512712,28.61,181.57,0.07,9.21,1.48,11.67,8.11
114.0237039942,22.6837477499,2,193173,2512712,34.91,154.66,0.06,9.24,2.49,8.19,6.46
114.0235993586,22.6837938921,3,193173,2512712,29.73,187.38,0.06,9.50,2.94,6.36,5.86
114.0237383245,22.6838423784,4,193173,2512712,31.68,196.86,0.07,8.17,4.74,7.67,5.45
114.0237441550,22.6838184373,5,193173,2512712,43.06,237.23,0.09,9.50,5.90,5.79,3.21
114.0236813227,22.6838793199,1,193173,2512717,39.92,162.14,0.06,8.56,1.44,11.28,9.40
114.0236233150,22.6838927602,2,193173,2512717,38.93,145.54,0.07,8.59,1.94,5.29,6.46
114.0237580304,22.6838707861,3,193173,2512717,40.31,153.68,0.06,9.31,3.81,5.88,7.42
114.0237477523,22.6839446563,4,193173,2512717,41.04,176.29,0.09,8.77,3.25,6.63,4.88
114.0235828677,22.6838211961,5,193173,2512717,29.82,207.55,0.09,7.92,5.31,4.02,3.20
114.0237093727,22.6836422198,1,193178,2512692,44.36,150.64,0.06,8.14,1.25,9.86,6.55
114.0236959378,22.6836815873,2,193178,2512692,36.71,196.40,0.07,7.40,2.08,7.54,7.21
114.0238305502,22.6835993335,3,193178,2512692,32.88,168.28,0.08,7.95,2.63,4.60,6.49
114.0236610451,22.6835545856,4,193178,2512692,30.41,176.25,0.07,8.24,5.74,5.94,4.88
114.0237801538,22.6835522480,5,193178,2512692,33.56,197.35,0.07,9.48,5.78,4.49,4.06
114.0237089211,22.6837174517,1,193178,2512697,35.86,210.31,0.07,7.84,1.25,12.78,11.47
114.0236538012,22.6837712176,2,193178,2512697,34.96,206.17,0.08,7.29,2.60,6.82,8.53
114.0237940564,22.6835955565,3,193178,2512697,32.40,176.09,0.08,7.13,2.84,4.63,7.53
114.0236836067,22.6837360886,4,193178,2512697,38.72,197.52,0.09,9.50,3.55,4.94,5.13
114.0236469228,22.6837507750,5,193178,2512697,37.26,165.23,0.08,8.72,5.15,5.01,3.97
114.0236710358,22.6837791225,1,193178,2512702,37.04,182.78,0.08,8.25,1.14,9.82,8.82
114.0237726267,22.6837172716,2,193178,2512702,30.24,216.36,0.08,8.00,1.65,9.20,7.88
114.0237669692,22.6836807973,3,193178,2512702,37.12,168.51,0.09,9.08,2.97,5.25,4.71
114.0236827951,22.6836698368,4,193178,2512702,34.32,181.06,0.07,7.53,4.10,4.53,6.33
114.0237254515,22.6837644731,5,193178,2512702,33.15,177.19,0.07,8.75,4.83,4.04,4.12
114.0236304630,22.6837714904,1,193178,2512707,35.36,199.20,0.06,8.30,1.24,7.81,7.20
114.0238021773,22.6837794763,2,193178,2512707,37.13,233.32,0.06,8.31,1.69,6.93,7.65
114.0237077748,22.6836794798,3,193178,2512707,36.01,153.21,0.07,7.56,3.15,3.84,7.80
114.0237805220,22.6837859269,4,193178,2512707,31.06,175.04,0.08,8.87,3.53,5.71,3.71
114.0236887094,22.6837888689,5,193178,2512707,32.82,216.37,0.07,8.44,4.99,6.86,4.31
114.0236614176,22.6837247837,1,193178,2512712,44.99,177.44,0.09,8.00,1.32,10.96,7.35
114.0237174612,22.6838472477,2,193178,2512712,34.30,195.07,0.06,7.83,1.77,9.98,8.99
114.0237561819,22.6838914530,3,193178,2512712,34.70,200.74,0.07,9.50,3.22,7.32,7.15
114.0236515256,22.6838475063,4,193178,2512712,30.52,203.85,0.08,7.02,5.35,4.79,4.36
114.0236911192,22.6837598443,5,193178,2512712,33.84,269.40,0.08,8.99,5.13,3.65,3.37
114.0236795787,22.6837629244,1,193178,2512717,30.96,194.76,0.09,9.37,1.75,17.59,9.83
114.0237240216,22.6837731266,2,193178,2512717,41.74,224.49,0.06,9.50,2.25,5.96,7.10
114.0238147152,22.6839175913,3,193178,2512717,32.60,163.62,0.08,9.50,2.80,5.66,6.85
114.0238233003,22.6838864102,4,193178,2512717,32.94,207.39,0.08,8.46,5.41,6.90,5.23
114.0236663881,22.6838647220,5,193178,2512717,38.70,162.05,0.07,8.91,6.82,6.68,3.86
114.0236563737,22.6839101532,1,193178,2512722,41.86,157.03,0.08,8.24,1.48,11.54,7.00
114.0237243731,22.6839433061,2,193178,2512722,43.19,145.87,0.09,8.90,1.96,6.69,8.33
114.0238090717,22.6839016336,3,193178,2512722,42.14,186.05,0.10,9.50,2.67,4.84,6.84
114.0237888079,22.6838565532,4,193178,2512722,44.39,237.81,0.07,8.27,4.15,6.27,5.59
114.0237350815,22.6839086714,5,193178,2512722,28.82,172.08,0.08,8.44,4.51,4.60,3.39
114.0236324490,22.6839940338,1,193178,2512727,42.71,207.71,0.06,8.41,1.36,13.15,11.42
114.0236311235,22.6839455510,2,193178,2512727,39.43,215.70,0.06,9.50,2.35,9.38,8.42
114.0237057153,22.6839760490,3,193178,2512727,36.47,173.79,0.08,8.92,3.46,6.66,7.90
114.0237941878,22.6840169612,4,193178,2512727,34.50,180.21,0.09,8.45,4.35,5.58,5.47
114.0237499518,22.6840292786,5,193178,2512727,34.99,226.91,0.11,9.50,4.88,3.15,3.88
114.0238179826,22.6837109341,1,193183,2512692,35.43,179.92,0.06,7.88,1.55,11.23,7.71
114.0238376862,22.6835642460,2,193183,2512692,37.24,166.10,0.07,8.33,2.15,6.71,7.25
114.0237299778,22.6835813146,3,193183,2512692,25.52,228.23,0.07,8.09,3.92,3.58,6.32
114.0237966967,22.6836580370,4,193183,2512692,33.28,242.86,0.09,9.50,4.20,4.89,5.69
114.0237935669,22.6836452116,5,193183,2512692,27.20,199.60,0.08,6.56,4.96,4.92,3.53
114.0238271377,22.6835851654,1,193183,2512697,41.71,196.40,0.08,9.50,1.07,9.46,10.28
114.0238055275,22.6836995348,2,193183,2512697,37.50,183.06,0.09,8.25,2.78,7.00,7.29
114.0237399905,22.6836635212,3,193183,2512697,31.35,171.08,0.06,9.50,3.25,5.73,7.37
114.0237860855,22.6837696545,4,193183,2512697,35.18,179.80,0.06,8.82,3.75,4.51,4.31
114.0238275158,22.6836430996,5,193183,2512697,39.70,232.14,0.10,8.31,5.52,5.07,4.91
114.0238706795,22.6837813815,1,193183,2512702,30.27,190.79,0.05,9.50,1.26,12.59,10.04
114.0237941375,22.6837849474,2,193183,2512702,34.68,238.30,0.06,9.02,2.35,7.20,7.53
114.0237214989,22.6836331073,3,193183,2512702,35.45,153.41,0.06,6.77,3.33,6.15,7.37
114.0237757504,22.6836399023,4,193183,2512702,30.96,214.58,0.08,7.46,3.32,5.93,5.44
114.0238256793,22.6836513685,5,193183,2512702,36.52,159.49,0.09,9.50,6.79,5.18,3.55
114.0237649237,22.6838556823,1,193183,2512707,29.42,139.91,0.06,7.88,1.53,9.42,7.96
114.0237142088,22.6836900032,2,193183,2512707,39.73,142.38,0.07,9.50,3.00,5.55,8.30
114.0237249609,22.6836907560,3,193183,2512707,41.62,222.37,0.07,8.96,3.13,4.30,5.70
114.0237057579,22.6838456775,4,193183,2512707,39.28,185.49,0.10,7.29,4.67,5.59,5.47
114.0236814031,22.6836685433,5,193183,2512707,31.03,215.35,0.09,7.34,5.44,5.96,3.56
114.0238244017,22.6838059278,1,193183,2512712,40.41,204.17,0.06,7.87,1.06,11.12,7.94
114.0238486648,22.6838149688,2,193183,2512712,43.27,185.58,0.08,7.34,2.68,7.98,9.11
114.0238572088,22.6837253767,3,193183,2512712,31.07,201.14,0.07,8.87,3.80,7.10,6.49
114.0238741942,22.6838167900,4,193183,2512712,24.67,219.85,0.06,7.24,5.15,5.04,3.96
114.0238194366,22.6837536832,5,193183,2512712,33.67,177.22,0.06,8.10,5.84,5.83,4.55
114.0238073118,22.6838306461,1,193183,2512717,30.84,184.29,0.07,8.84,1.08,8.29,9.26
114.0238366441,22.6838670601,2,193183,2512717,28.53,227.41,0.07,8.39,1.90,7.90,7.45
114.0238479087,22.6838999981,3,193183,2512717,42.89,213.21,0.06,7.69,2.70,4.40,6.20
114.0236959339,22.6839248606,4,193183,2512717,31.11,178.74,0.07,9.50,3.25,5.29,5.47
114.0237970049,22.6838843258,5,193183,2512717,27.57,255.38,0.08,9.38,6.84,4.67,4.38
114.0237412767,22.6838021144,1,193183,2512722,35.64,200.43,0.08,8.37,1.37,17.66,9.79
114.0237163384,22.6838848598,2,193183,2512722,39.19,216.56,0.09,8.03,2.84,4.09,7.50
114.0237047938,22.6839244609,3,193183,2512722,34.97,175.13,0.07,9.50,2.78,4.49,5.13
114.0236960753,22.6838868760,4,193183,2512722,32.84,180.71,0.08,8.96,4.54,5.10,5.41
114.0236748492,22.6838611772,5,193183,2512722,26.35,205.42,0.09,9.06,5.33,4.23,3.83
114.0237483749,22.6839867349,1,193183,2512727,40.77,167.58,0.06,8.63,1.11,12.66,7.45
114.0238565659,22.6840184226,2,193183,2512727,37.32,221.85,0.09,7.62,3.08,5.64,7.81
114.0238325978,22.6839696257,3,193183,2512727,32.30,208.51,0.06,8.57,3.21,4.38,6.32
114.0237514867,22.6839080555,4,193183,2512727,41.16,247.75,0.06,9.50,3.78,4.38,4.28
114.0237422084,22.6839914764,5,193183,2512727,32.38,200.60,0.07,9.16,4.96,5.01,3.76
114.0238024567,22.6839265372,1,193183,2512732,46.83,177.44,0.07,7.58,1.05,10.67,8.92
114.0237984146,22.6840160123,2,193183,2512732,37.34,163.20,0.09,9.50,2.33,5.70,7.03
114.0236825894,22.6839925753,3,193183,2512732,45.25,206.83,0.05,6.30,3.74,4.41,5.54
114.0237943566,22.6839925215,4,193183,2512732,37.73,212.29,0.06,9.25,4.33,6.96,5.94
114.0237356603,22.6839862338,5,193183,2512732,35.28,219.52,0.10,9.28,6.29,7.71,4.29
114.0237632862,22.6835355985,1,193188,2512687,35.91,191.14,0.06,9.50,1.49,12.42,10.11
114.0237964479,22.6836056269,2,193188,2512687,34.05,165.81,0.07,7.90,2.20,6.42,6.65
114.0238600872,22.6836673183,3,193188,2512687,39.73,162.86,0.06,6.73,4.12,4.16,5.92
114.0238071660,22.6836050580,4,193188,2512687,41.79,186.81,0.08,8.42,4.18,6.72,5.58
114.0238765294,22.6836231326,5,193188,2512687,37.24,203.11,0.09,9.15,6.16,5.28,4.60
114.0239173297,22.6836284113,1,193188,2512692,33.22,191.61,0.08,7.78,1.35,10.81,8.70
114.0239045325,22.6835387066,2,193188,2512692,38.06,166.36,0.07,9.50,2.09,10.02,8.19
114.0238896048,22.6835642649,3,193188,2512692,36.12,179.78,0.05,8.48,2.99,7.43,6.00
114.0238175816,22.6836379593,4,193188,2512692,37.43,228.14,0.07,7.63,5.02,3.74,5.71
114.0238201320,22.6835875114,5,193188,2512692,32.51,196.15,0.08,8.80,5.66,6.42,5.10
114.0238550534,22.6837510878,1,193188,2512697,35.30,166.75,0.08,9.50,1.54,9.24,6.94
114.0239078789,22.6836057342,2,193188,2512697,35.47,134.79,0.09,9.50,2.09,8.67,8.40
114.0238272191,22.6836234200,3,193188,2512697,34.89,204.22,0.06,7.27,3.56,5.67,6.57
114.0237543375,22.6836336403,4,193188,2512697,39.81,204.82,0.06,9.50,5.35,3.46,4.67
114.0237780024,22.6837432571,5,193188,2512697,30.92,209.40,0.08,8.57,5.98,4.60,2.80
114.0238098043,22.6837801516,1,193188,2512702,44.87,210.25,0.06,8.32,1.02,9.79,8.82
114.0237545546,22.6837072195,2,193188,2512702,42.08,182.80,0.08,8.41,1.68,6.06,6.51
114.0238310511,22.6837228373,3,193188,2512702,34.20,152.40,0.07,8.02,3.07,4.81,6.64
114.0237290877,22.6837790758,4,193188,2512702,32.59,227.45,0.07,7.51,4.41,6.57,5.57
114.0238350420,22.6837840735,5,193188,2512702,31.61,197.98,0.07,8.78,6.81,5.05,3.77
114.0238800989,22.6837580150,1,193188,2512707,37.48,175.31,0.08,9.38,1.24,17.55,6.57
114.0238334670,22.6837171419,2,193188,2512707,28.80,173.06,0.06,7.72,2.27,7.50,10.34
114.0237984647,22.6838443764,3,193188,2512707,32.31,184.59,0.08,9.50,3.68,6.21,6.53
114.0238287160,22.6838267087,4,193188,2512707,31.38,203.67,0.09,9.50,4.34,6.75,6.22
114.0238570447,22.6837277783,5,193188,2512707,33.66,183.17,0.07,9.50,4.85,5.18,2.69
114.0239235125,22.6837664975,1,193188,2512712,43.10,174.49,0.08,8.29,1.27,16.34,8.44
114.0239144403,22.6837401423,2,193188,2512712,48.96,177.99,0.06,8.00,2.46,8.25,8.33
114.0238373313,22.6838326054,3,193188,2512712,33.96,181.08,0.06,7.76,3.82,4.16,5.87
114.0238537946,22.6837615088,4,193188,2512712,36.09,190.08,0.09,9.50,4.63,4.83,4.54
114.0238131370,22.6839108595,5,193188,2512712,28.75,226.70,0.08,9.13,6.46,4.50,3.54
114.0238119262,22.6837742519,1,193188,2512717,37.93,193.15,0.07,8.06,1.55,12.46,11.13
114.0238931764,22.6838990556,2,193188,2512717,37.51,205.72,0.08,8.99,1.92,5.38,7.41
114.0238809786,22.6837619506,3,193188,2512717,45.51,177.50,0.07,9.18,3.26,5.40,5.46
114.0239228230,22.6839004677,4,193188,2512717,36.34,165.83,0.09,8.38,5.20,5.26,3.97
114.0238589258,22.6838255967,5,193188,2512717,31.39,255.99,0.09,7.68,7.28,6.74,3.29
114.0237330082,22.6838266334,1,193188,2512722,39.28,199.24,0.08,8.02,1.58,10.21,9.32
114.0238911123,22.6838519222,2,193188,2512722,38.56,198.04,0.06,9.50,1.78,6.72,9.17
114.0239102470,22.6838326400,3,193188,2512722,39.31,196.24,0.07,7.97,2.85,3.68,6.57
114.0237310179,22.6839300919,4,193188,2512722,37.50,250.76,0.07,8.88,4.04,5.05,3.89
114.0237798599,22.6839931312,5,193188,2512722,39.15,206.26,0.09,8.41,4.94,5.01,3.82
114.0238177974,22.6838877131,1,193188,2512727,42.15,185.47,0.06,8.46,1.20,7.37,7.27
114.0237950552,22.6839592387,2,193188,2512727,39.24,211.74,0.07,9.50,2.48,5.93,6.04
114.0238440227,22.6838965625,3,193188,2512727,30.26,220.53,0.08,7.40,2.79,6.12,5.80
114.0238238921,22.6839466604,4,193188,2512727,32.82,209.84,0.09,9.41,3.53,5.91,4.42
114.0237310553,22.6839458873,5,193188,2512727,27.20,152.43,0.08,7.37,6.81,5.49,3.27
114.0238654704,22.6840447872,1,193188,2512732,45.06,176.26,0.07,9.50,1.72,9.04,9.39
114.0238728496,22.6839479599,2,193188,2512732,28.13,197.73,0.07,8.21,2.14,6.36,7.75
114.0239077585,22.6840430088,3,193188,2512732,47.61,220.99,0.08,9.50,2.93,6.87,6.71
114.0238113665,22.6840132679,4,193188,2512732,24.90,190.03,0.07,7.86,3.72,4.74,5.47
114.0237872434,22.6840576737,5,193188,2512732,36.64,212.65,0.07,6.60,6.68,4.95,3.10
114.0238357308,22.6840964741,1,193188,2512737,35.44,164.23,0.07,9.50,1.24,11.42,9.61
114.0238345172,22.6840814032,2,193188,2512737,45.34,170.93,0.08,8.96,3.14,7.81,7.18
114.0237253044,22.6841267642,3,193188,2512737,31.60,198.31,0.07,8.80,3.44,5.35,7.73
114.0239030945,22.6841116867,4,193188,2512737,29.75,160.49,0.07,6.46,3.72,5.46,5.02
114.0237817409,22.6839717596,5,193188,2512737,31.28,203.93,0.09,7.88,5.14,4.59,3.98
114.0238400272,22.6840206833,1,193188,2512742,42.10,146.83,0.06,9.50,1.25,11.62,10.79
114.0238590096,22.6840456386,2,193188,2512742,40.13,211.10,0.06,8.37,2.05,5.91,8.19
114.0239140440,22.6841459060,3,193188,2512742,32.44,182.58,0.09,8.08,2.60,5.73,5.55
114.0237693007,22.6840780463,4,193188,2512742,45.59,239.94,0.08,7.22,3.90,4.98,5.88
114.0237665035,22.6841161973,5,193188,2512742,24.60,190.77,0.10,8.39,5.10,6.39,4.62
114.0237784244,22.6835970281,1,193193,2512687,42.63,223.63,0.07,7.54,1.49,14.04,11.42
114.0238416216,22.6836161372,2,193193,2512687,48.28,147.48,0.09,8.72,2.11,5.87,10.14
114.0238124011,22.6836634066,3,193193,2512687,39.51,150.90,0.08,9.08,4.02,8.37,6.17
114.0239625960,22.6836623062,4,193193,2512687,25.61,226.02,0.09,7.16,4.00,6.31,5.35
114.0238761706,22.6836746697,5,193193,2512687,31.29,193.06,0.08,9.50,5.05,6.44,4.22
114.0238136495,22.6836793885,1,193193,2512692,46.82,161.28,0.07,6.90,1.26,10.41,9.24
114.0238794659,22.6835494125,2,193193,2512692,46.89,185.47,0.08,7.75,2.83,7.12,9.00
114.0239271610,22.6837228719,3,193193,2512692,36.31,142.21,0.06,7.68,3.59,4.20,6.08
114.0238377710,22.6836131482,4,193193,2512692,35.75,195.84,0.07,9.50,3.99,4.51,3.89
114.0238993348,22.6835758906,5,193193,2512692,31.75,205.26,0.10,8.89,4.40,6.90,3.65
114.0238829349,22.6837099911,1,193193,2512697,38.41,156.27,0.06,9.50,1.37,10.77,9.98
114.0237910519,22.6836900060,2,193193,2512697,34.93,167.52,0.09,9.50,1.82,5.62,6.76
114.0237986793,22.6836182526,3,193193,2512697,26.63,226.79,0.09,7.96,2.76,4.32,7.61
114.0237869787,22.6836696479,4,193193,2512697,33.18,165.21,0.08,8.36,4.74,4.88,4.96
114.0238443371,22.6835899242,5,193193,2512697,29.88,219.52,0.08,9.50,6.45,4.40,2.80
114.0239276185,22.6838179463,1,193193,2512702,50.92,246.17,0.05,9.50,1.11,10.05,8.75
114.0239109990,22.6837546381,2,193193,2512702,31.12,209.50,0.09,8.85,2.46,5.82,6.90
114.0238189910,22.6836229743,3,193193,2512702,35.63,201.48,0.08,7.86,3.14,4.38,5.94
114.0238436849,22.6836774095,4,193193,2512702,28.52,150.09,0.08,9.18,4.19,7.43,4.22
114.0237775821,22.6836634959,5,193193,2512702,42.09,220.66,0.07,9.50,5.48,4.26,4.60
114.0238203424,22.6837108408,1,193193,2512707,33.95,172.55,0.08,9.45,0.93,13.66,8.60
114.0238930581,22.6838018933,2,193193,2512707,35.78,194.19,0.08,7.46,2.86,7.29,6.42
114.0239631786,22.6838433297,3,193193,2512707,30.67,172.72,0.07,9.50,2.88,3.68,4.60
114.0239306355,22.6837311338,4,193193,2512707,38.29,219.03,0.09,9.24,5.77,4.33,4.35
114.0239149899,22.6838285422,5,193193,2512707,27.47,206.23,0.10,9.50,5.22,5.69,3.81
114.0239018373,22.6838969395,1,193193,2512712,48.39,221.40,0.08,9.50,1.26,9.64,7.57
114.0239472203,22.6837501269,2,193193,2512712,35.45,161.69,0.09,8.09,1.95,8.43,6.60
114.0237755629,22.6838999262,3,193193,2512712,31.75,224.78,0.09,7.39,3.80,5.67,6.02
114.0239555215,22.6838229101,4,193193,2512712,36.52,178.44,0.08,8.62,4.39,5.34,3.80
114.0237922178,22.6839087580,5,193193,2512712,30.23,226.53,0.07,8.95,4.14,6.06,4.37
114.0238007023,22.6838097564,1,193193,2512717,44.32,168.32,0.08,8.30,1.42,9.78,6.76
114.0238713781,22.6838885232,2,193193,2512717,34.49,181.81,0.08,7.12,2.36,7.05,7.06
114.0239305129,22.6837914548,3,193193,2512717,40.25,173.14,0.10,9.50,3.85,5.38,5.67
114.0239408572,22.6839466392,4,193193,2512717,38.08,205.18,0.10,9.29,4.71,3.69,4.82
114.0238726644,22.6838322418,5,193193,2512717,40.78,192.88,0.07,9.50,4.38,4.63,3.68
114.0237729096,22.6839085925,1,193193,2512722,32.77,171.24,0.07,8.46,1.15,7.20,10.09
114.0237919427,22.6838219717,2,193193,2512722,29.15,214.60,0.06,9.50,2.35,8.64,8.63
114.0238517449,22.6839157094,3,193193,2512722,35.57,201.04,0.07,9.40,3.57,6.74,6.74
114.0237892395,22.6838785618,4,193193,2512722,38.81,173.75,0.07,9.50,4.12,7.32,5.18
114.0238837107,22.6839743010,5,193193,2512722,37.88,187.01,0.08,7.77,5.58,6.31,3.95
114.0237788734,22.6838626859,1,193193,2512727,34.43,199.35,0.06,8.41,1.63,11.58,9.07
114.0238869682,22.6839982672,2,193193,2512727,48.63,238.47,0.06,6.53,2.69,5.43,7.07
114.0239488661,22.6839141623,3,193193,2512727,38.84,195.87,0.06,7.74,3.48,5.24,6.76
114.0238569786,22.6840155512,4,193193,2512727,35.19,171.92,0.09,8.18,4.27,7.19,4.56
114.0239680781,22.6839459370,5,193193,2512727,34.71,250.97,0.09,8.43,5.46,5.61,3.32
114.0239281936,22.6840355454,1,193193,2512732,33.34,218.77,0.06,9.44,1.67,12.87,10.09
114.0237696216,22.6839545771,2,193193,2512732,27.50,185.18,0.07,8.00,2.74,6.35,6.88
114.0237738350,22.6839637065,3,193193,2512732,29.13,201.95,0.06,7.51,2.82,3.82,5.31
114.0239488098,22.6840739652,4,193193,2512732,35.11,226.46,0.09,8.37,4.49,5.49,4.07
114.0237812360,22.6839798589,5,193193,2512732,32.46,196.35,0.07,7.16,5.53,4.65,4.29
114.0238067138,22.6839594255,1,193193,2512737,32.76,163.05,0.06,8.15,1.39,11.22,9.79
114.0239306993,22.6841099327,2,193193,2512737,30.73,191.39,0.07,9.19,2.07,8.08,8.64
114.0239613492,22.6839963206,3,193193,2512737,41.80,200.16,0.08,9.50,2.86,4.35,8.40
114.0237903817,22.6840508011,4,193193,2512737,29.37,216.29,0.07,7.22,3.40,4.67,5.25
114.0238552952,22.6839962972,5,193193,2512737,33.98,189.46,0.08,7.68,5.88,3.93,4.44
114.0238983584,22.6841261856,1,193193,2512742,35.96,208.03,0.09,8.37,1.26,11.70,8.73
114.0239049675,22.6840918674,2,193193,2512742,32.02,187.89,0.09,8.62,2.29,8.00,9.84
114.0238981461,22.6840541401,3,193193,2512742,37.08,217.87,0.09,9.50,2.83,3.84,7.00
114.0238527169,22.6839852479,4,193193,2512742,28.92,170.15,0.09,9.48,3.55,6.54,6.09
114.0239210942,22.6841008563,5,193193,2512742,33.36,193.80,0.09,8.03,6.38,5.21,3.35
114.0239537826,22.6840565807,1,193193,2512747,42.19,180.61,0.05,7.19,1.53,17.50,9.27
114.0238294292,22.6840882985,2,193193,2512747,37.36,193.48,0.06,8.76,2.09,7.38,9.25
114.0238144299,22.6840631363,3,193193,2512747,37.98,147.20,0.09,9.50,3.79,3.69,8.13
114.0238520742,22.6840340841,4,193193,2512747,27.63,182.91,0.10,6.92,4.87,5.24,4.85
114.0239273933,22.6840407584,5,193193,2512747,39.20,170.60,0.07,8.97,5.08,4.94,4.25
114.0238702119,22.6842011747,1,193193,2512752,38.85,233.70,0.06,7.81,1.56,12.40,8.51
114.0239058666,22.6841328420,2,193193,2512752,32.94,183.28,0.07,8.39,2.22,7.83,6.84
114.0238668339,22.6841570008,3,193193,2512752,31.61,166.24,0.06,8.20,3.19,4.51,7.45
114.0238756515,22.6841712814,4,193193,2512752,25.22,153.89,0.07,8.40,4.55,5.59,5.63
114.0239277121,22.6842661188,5,193193,2512752,28.49,154.86,0.10,7.60,5.09,3.84,2.94
114.0238321739,22.6836400767,1,193198,2512687,43.25,221.31,0.06,8.87,1.18,16.84,7.62
114.0239359470,22.6835105076,2,193198,2512687,34.04,158.00,0.08,6.72,2.17,7.92,7.94
